ID,Name,Class,Type,CD,Region,Parent,Slug,Lat,Lng,CoordSrc,Pop2021,Pop2016,Dwellings2021,LandKm2,PopSrc,DistWinnipegKM,DistBrandonKM,Score,Gate,DeferReason
MB-UNP-geyser,"Geyser",COMMUNITY,"Unincorporated Community",18,Interlake,,geyser,50.91944,-97.08611,CGN,,,,,"",114,235,33.6,DEFER,"no grounded population"
MB-UNP-haskett,"Haskett",COMMUNITY,"Community",03,Pembina Valley,,haskett,49.01833,-97.97222,CGN,,,,,"",115,170,33.6,DEFER,"no grounded population"
MB-UNP-hnausa,"Hnausa",COMMUNITY,"Community",18,Interlake,,hnausa,50.90500,-96.99556,CGN,,,,,"",113,240,33.6,DEFER,"no grounded population"
MB-UNP-indigo,"Indigo",COMMUNITY,"Unincorporated Community",01,Eastman,,indigo,49.87750,-95.57139,CGN,,,,,"",112,314,33.6,DEFER,"no grounded population"
MB-UNP-mcauley,"McAuley",COMMUNITY,"Community",06,Westman,,mcauley,50.26222,-101.38861,CGN,,,,,"",306,113,33.6,DEFER,"no grounded population"
MB-UNP-rennie,"Rennie",COMMUNITY,"Community",01,Eastman,,rennie,49.85278,-95.55278,CGN,,,,,"",114,315,33.6,DEFER,"no grounded population"
MB-UNP-rossman-lake-sunset-point,"Rossman Lake Sunset Point",COMMUNITY,"Unincorporated Community",16,Parkland,,rossman-lake-sunset-point,50.74056,-100.68917,CGN,,,,,"",269,112,33.6,DEFER,"no grounded population"
MB-UNP-rossman-lake-west,"Rossman Lake West",COMMUNITY,"Unincorporated Community",16,Parkland,,rossman-lake-west,50.74444,-100.70417,CGN,,,,,"",270,113,33.6,DEFER,"no grounded population"
MB-UNP-somme,"Somme",COMMUNITY,"Unincorporated Community",01,Eastman,,somme,49.03139,-96.32417,CGN,,,,,"",113,277,33.6,DEFER,"no grounded population"
MB-UNP-st-leon,"St. Leon",COMMUNITY,"Local Urban District",04,Pembina Valley,,st-leon,49.36361,-98.58944,CGN,,,,,"",120,112,33.6,DEFER,"no grounded population"
MB-UNP-suffren,"Suffren",COMMUNITY,"Unincorporated Community",18,Interlake,,suffren,50.81944,-97.83500,CGN,,,,,"",114,185,33.6,DEFER,"no grounded population"
MB-UNP-badger,"Badger",COMMUNITY,"Community",01,Eastman,,badger,49.19028,-95.95917,CGN,,,,,"",116,297,33.5,DEFER,"no grounded population"
MB-UNP-balaton-beach,"Balaton Beach",COMMUNITY,"Unincorporated Community",18,Interlake,,balaton-beach,50.94778,-96.95722,CGN,,,,,"",118,245,33.5,DEFER,"no grounded population"
MB-UNP-binney,"Binney",COMMUNITY,"Unincorporated Community",04,Pembina Valley,,binney,49.26167,-98.59250,CGN,,,,,"",126,118,33.5,DEFER,"no grounded population"
MB-UNP-birdtail,"Birdtail",COMMUNITY,"Unincorporated Community",16,Parkland,,birdtail,50.72694,-100.88639,CGN,,,,,"",282,118,33.5,DEFER,"no grounded population"
MB-UNP-brereton-lake,"Brereton Lake",COMMUNITY,"Unincorporated Community",01,Eastman,,brereton-lake,49.91361,-95.52861,CGN,,,,,"",115,317,33.5,DEFER,"no grounded population"
MB-UNP-cameron,"Cameron",COMMUNITY,"Unincorporated Community",05,Westman,,cameron,49.08083,-101.07694,CGN,,,,,"",299,118,33.5,DEFER,"no grounded population"
MB-UNP-darlingford,"Darlingford",COMMUNITY,"Local Urban District",04,Pembina Valley,,darlingford,49.20389,-98.37806,CGN,,,,,"",118,134,33.5,DEFER,"no grounded population"
MB-UNP-deerhorn,"Deerhorn",COMMUNITY,"Community",18,Interlake,,deerhorn,50.77972,-98.04083,CGN,,,,,"",117,171,33.5,DEFER,"no grounded population"
MB-UNP-framnes,"Framnes",COMMUNITY,"Unincorporated Community",18,Interlake,,framnes,50.94028,-97.29944,CGN,,,,,"",117,224,33.5,DEFER,"no grounded population"
MB-UNP-menisino,"Menisino",COMMUNITY,"Unincorporated Community",01,Eastman,,menisino,49.08806,-96.13583,CGN,,,,,"",115,288,33.5,DEFER,"no grounded population"
MB-UNP-minnewakan,"Minnewakan",COMMUNITY,"Unincorporated Community",18,Interlake,,minnewakan,50.71500,-98.18167,CGN,,,,,"",117,158,33.5,DEFER,"no grounded population"
MB-UNP-poplarfield,"Poplarfield",COMMUNITY,"Community",18,Interlake,,poplarfield,50.89083,-97.60694,CGN,,,,,"",116,203,33.5,DEFER,"no grounded population"
MB-UNP-red-rock-lake,"Red Rock Lake",COMMUNITY,"Unincorporated Community",01,Eastman,,red-rock-lake,49.98694,-95.51944,CGN,,,,,"",116,318,33.5,DEFER,"no grounded population"
MB-UNP-sirko,"Sirko",COMMUNITY,"Unincorporated Community",01,Eastman,,sirko,49.01556,-96.24611,CGN,,,,,"",117,283,33.5,DEFER,"no grounded population"
MB-UNP-slave-falls,"Slave Falls",COMMUNITY,"Unincorporated Community",01,Eastman,,slave-falls,50.22778,-95.56444,CGN,,,,,"",118,316,33.5,DEFER,"no grounded population"
MB-UNP-waywayseecappo,"Waywayseecappo",COMMUNITY,"Community",16,Parkland,,waywayseecappo,50.71806,-100.88111,CGN,,,,,"",281,117,33.5,DEFER,"no grounded population"
MB-UNP-white-lake,"White Lake",COMMUNITY,"Unincorporated Community",01,Eastman,,white-lake,50.02944,-95.51361,CGN,,,,,"",117,318,33.5,DEFER,"no grounded population"
MB-UNP-wye,"Wye",COMMUNITY,"Unincorporated Community",01,Eastman,,wye,49.62472,-95.56639,CGN,,,,,"",117,316,33.5,DEFER,"no grounded population"
MB-4621034,"Opaskwayak Cree Nation 21B",CSD,"Indian Reserve",21,Northern Manitoba,,opaskwayak-cree-nation-21b,,,,278,39,87,0.98,"StatCan 98-10-0002",,,33.4,DEFER,"no verified coordinates"
